Name,Place,Town Name,Phone Number,Overall Rating,Rating,Pricelist,Best Selling,Hot Trending,Average Daily Profit,Average Daily Customers,Most Crowded Day
Thakkaaram Restaurant ,"Nh 66, Bypass, Chakkalakkal, Kochi, Palarivattom,Ernakulam - 682025, Opposite Emc",Vazhakkala,8593084422,4.03,4,,Thalassery Biryani,Pizza,10000,45,Sunday 
Gokul Oottuvura,"Ittys,Panampilly Nagar, Ernakulam",Ernakulam ,               0484 2310401,4.02,4,                      ? 0 - 500,Sadhya,Burger,20000,50,Saturday
Bolgatty Palace Restaurant,"Bolgatty Palace and Island Resort KTDC, Mulavukadu, Vypin, Ernakulam - 682010",Mulavukadu,               0484 2450500,4.24,4.2,               ? 1000 - 2000,Appam with Stew,Kappa Meen Curry,40000,46,Friday
Njettilla Vattayila ,"PT Usha Road, Ernakulam - 682016, Opposite Maharajas Stadium",Ernakulam ,7560866935,3.92,3.9,                        ? 0 - 500,Spicy Chicken Fry,Kappa Boti,50000,80,Wednesday
Mullapanthal Restaurant,"MLA Road, Mankaikavala, Udayamperoor, Ernakulam - 682307, Near Ameda Temple",Ernakulam ,               0484 2791227,4.15,4.1,                        ? 0 - 500,Kerala Prawn Curry,Parota with beef curry,35000,76,Thursday
Thaal Kitchen,"Kakkanad, Ernakulam - 682030, Near Rajagiri College",Kakkanad,9539099499,3.76,3.7,                        ? 0 - 500,Kappa and Meen Curry,Thalassery Biryani,15000,32,Tuesday                  
D Lite Restaurant,"Post Box No.2, Pallithazham, Kochi, Chottanikkara Road, Mulanthuruthy, Ernakulam - 682314",Mulanthuruthy,9446752608,3.72,3.7,                        ? 0 - 500,Thattu Dosa with Chutney,Seafood ,28000,78,Monday
Thakkaaramanthi House,"NH 47 Bypass, Vyttila, Ernakulam - 682019, Opposite Gold Souk Grande Mall",Thrippunithura,9526442266,3.84,3.8,                 ? 500 - 1000,Fish Molee,Fried Prawns,20000,100,Wednesday
Ceylon Bake House,"M G Road, Jos Junction, Ernakulam - 682016, Opposite To Avenue Regency",Ernakulam ,               0484 2366011,3.92,3.9,                        ? 0 - 500,Beef Fry,Chuttuli Meen ,35000,56,Tuesday
Pai Dosa in Edapally,"AS Tower, Edapally, Ernakulam - 682024, Behind LuLu Mall ",Ernakulam ,               0484 2801778,3.93,3.9,                        ? 0 - 500,Naadan Kozhi Curry,Death by Chocolate,14000,80,Sunday
Ifthar Taste Of Real Malabar,"K K Building, Toll Junction, Edapally, Ernakulam - 682024, Opposite Pittappillil",Ernakulam ,               0484 2801157,4.04,4,                        ? 0 - 500,dosa Ghee roast with sambar,Kappa Puzhukku,10000,40,Sunday
