District Name,Sub District Name,Town Name,Railway Station Name,Bus Route Name,Area (sq. km.),Number of Households,Total Population of Town,Railway Station Road Distance (in kms),Fire Fighting Service (Status A(1)/NA(2)),Electricity-Commercial Connection (Numbers) ,Electricity-Industrial Connection (Numbers),Hospital Allopathic (Numbers),Dispensary/Health Centre (Numbers),Total Health Centres,Govt. Senior Secondary School (Numbers),Private Senior Secondary School (Numbers) ,Total Senior Secondary Schools,Govt. Degree College-Art Only (Numbers),Private Degree College-Art Only (Numbers),Govt. Degree College-Science Only (Numbers),Private Degree College-Science Only (Numbers),Govt. Degree College-Commerce Only (Numbers),Private Degree College-Commerce Only (Numbers),Govt. Degree College-Art and Science Only (Numbers),Private Degree College-Art and Science Only (Numbers),"Govt. Degree College-Art,Science and Commerce (Numbers)","Private Degree College-Art,Science and Commerce (Numbers)",Govt. Degree College-Law (Numbers),Private Degree College-Law (Numbers),Govt.-Medical College (Numbers)),Private-Medical College (Numbers),Govt.-Engineering College (Numbers),Private-Engineering College (Numbers),Govt.-Management Institute (Numbers),Private-Management Institute (Numbers),Govt.-Polytechnic (Numbers),Private-Polytechnic (Numbers),Total Colleges,Govt.-Stadium (Numbers),Private-Stadium (Numbers),Total Stadiums,Govt.-Cinema Theatre (Numbers),Private-Cinema Theatre (Numbers),Total Cinema Theatres,Govt.-Auditorium/Community Hall (Numbers),Private-Auditorium/Community Hall (Numbers),Total Auditoriums
ERNAKULAM,KUNNATHUNAD,Perumbavoor,Aluva,Perumbavoor,13.61,7103,28110,15,1,4593,585,1,4,5,3,1,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3,1,0,1,0,5,5,0,10,10
ERNAKULAM,KUNNATHUNAD,Koovappady,Aluva,Koovappady,17.29,7319,29339,15,2,1104,371,0,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1
ERNAKULAM,KUNNATHUNAD,Chelamattom,Aluva,Chelamattom,7.29,4151,16844,10,2,750,350,0,1,1,0,2,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1
ERNAKULAM,KUNNATHUNAD,Marampilly,Aluva,Marampilly,9.24,5368,23272,8,2,1871,804,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,4,0,0,0,0,1,1,1,0,1
ERNAKULAM,KUNNATHUNAD,Vazhakulam,Aluva,Vazhakulam,10.58,4377,18358,10,1,415,20,0,2,2,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
ERNAKULAM,KUNNATHUNAD,Vengola,Aluva,Vengola,18.07,7791,32697,15,2,1104,371,0,2,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,2,3
ERNAKULAM,KUNNATHUNAD,Kunnathunad,Ernakulam,Kunnathunad,17.21,5377,22881,15,2,590,130,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,7,1,2,3
ERNAKULAM,KUNNATHUNAD,Puthencruz,Thrippunithura,Puthencruz,28.1,5638,22378,12,2,1200,7037,0,5,5,1,3,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,0,0,3,8,11
ERNAKULAM,ALUVA,Angamaly,Angamaly,Angamaly,28.24,8405,33465,0,1,1950,805,1,1,2,1,6,7,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,8,0,0,0,0,1,1,1,8,9
ERNAKULAM,ALUVA,Aluva,Aluva,Aluva,6.46,5641,22428,0,1,2465,292,1,2,3,6,2,8,2,5,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,14,1,1,2,0,4,4,4,15,19
ERNAKULAM,ALUVA,Kalady,Angamaly,Kalady,10.32,5139,20380,10,2,547,172,0,3,3,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,3,3
ERNAKULAM,ALUVA,Mattoor,Angamaly,Mattoor,9.77,4728,18890,9,2,250,2,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0
ERNAKULAM,ALUVA,Vadakkumbhagom,Chowwara,Vadakkumbhagom,7.19,2861,11727,5,2,164,12,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
ERNAKULAM,ALUVA,Chowwara,Chowwara,Chowwara,8.27,3579,14933,2,2,825,192,0,2,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,1
