Name,Place,Town Name,Phone Number,Overall Rating,Rating,Pricelist,Best Selling,Hot Trending,Average Daily Profit,Average Daily Customers,Most Crowded Day
Bhadariya Hotel,"Mc Road, Angamaly, Ernakulam - 683572, Near Jumma Masjid ",Angamaly,0484 2455407,3.62,3.6,                ? 500 - 1000,Appam with Stew,Parota with beef curry,60000,500,Wednesday
Hotel Aryaas,"NH544, Angamaly, Kerala 683572",Angamaly,9089112321,3.9,3.9,                ? 500 - 1000,Poori Masala,Baby Corn Masala Dosa,90000,300,Saturday
Salkkaar Restaurant,"MC Rd, opposite HDFC Bank, East Nagar, Kavaraparmbu, Angamaly, Kerala 683572",Angamaly,9207235235,4.2,4.3,                ? 500 - 1000,Beef Biriyani,Wayanadan Beef,100000,350,Monday
Street Lights Restayrant,"TB Nagar 1st street, Angamaly, Kerala 683572",Angamaly,9023299902,4.64,4.6,                ? 500 - 1000,omelette,Kappa and Meen Curry,100000,370,Friday
Hotel Ananda Bhavan,"EN 95, SH 1, Angamaly, 683572",Angamaly,0484 2452361,3.82,3.8,                ? 500 - 1000,Veg Meals,Paper roast,102000,450,Tuesday
Greenpeace," T B JUNCTION, Angamaly, Kerala 683572",Angamaly,9074648528,3.62,3.6,                ? 500 - 1000,Chicken Biriyani,Appan with Duck Roast,110000,500,Thursday
Alibaba & 41 Dishes by Bab Arabia,"59QM+GHJ, Opposite Sunny Silks, NH BANK Junction, VIP St, Angamaly, Kerala 683572",Angamaly,9567751555,3.91,3.9,                ? 500 - 1000,Chicken Wings,Kapama Beef Rice,130000,550,Saturday
Sulaimani,"2nd floor ,basil tower, National Highway 47, opp. orma marbles, Kothakulangara, Angamaly, Kerala 683572",Angamaly,8281607737,4,4,                ? 500 - 1000,Beef Biriyani,Porotta,45000,200,Friday
Chi Hao,"Janatha building , Bank junction, Angamaly, Angamaly, Kerala 683572",Angamaly,9061106359,4,4,                ? 500 - 1000,Chilly Pork,Schezwan Chicken Fried Rice,50000,350,Saturday
Angamaly Dhaba and Chapathi,"115, SH 1, Kavaraparmbu, Angamaly, Kerala 683572",Angamaly,9745606584,3.51,3.5,                ? 500 - 1000,Grilled Chicken,Mixed Fried Rice,80000,700,Sunday
Chicwings,"59QP+M6J, E Church Rd, Angamaly, Kerala 683572",Angamaly,7089760556,3.93,3.9,                ? 500 - 1000,Sandwiches,Chicken Popcorn,70000,750,Monday
Hotel Paris,"Old Market Rd, Angamaly, Kerala 683572",Angamaly,9447178314,3.62,3.6,                ? 500 - 1000,Mixed Fried Rice,Al-Faham,90000,800,Wednesday
Kitchenlady Thattukada,"59RQ+R7Q, TB Nagar II St, Angamaly, Kerala 683572",Angamaly,9961254819,3.8,3.9,                ? 500 - 1000,Chicken Biriyani,Beef with Porotta,95000,850,Friday
Orange Family Restaurant A/C,"59WP+38R, NH544, Angamaly, Kerala 683572",Angamaly,0484 2471070,3.6,3.6,                ? 500 - 1000,Chicken Biriyani,Shawarma,100000,900,Wednesday
Dharmoo's Kitchen," 59RQ+RFR, Angamaly, Kerala 683572",Angamaly,0484 2472611,3.73,3.7,                ? 500 - 1000,Fish Biriyani,Kizhi Porotta,120000,950,Saturday
Arafa Manjali Biriyani,"59RQ+J9C, Angamaly, Kerala 683572",Angamaly,9656430025,3.71,3.7,                ? 500 - 1000,Biriyani,Grilled Chicken,125000,1000,Sunday
Hotel Malabar,"EN 95, SH 1, Angamaly, Kerala 683572",Angamaly,9876897867,3.54,3.5,                ? 500 - 1000,Chicken Biriyani,Grilled Chicken,130000,1050,Saturday
KL 63 Garden's 24 Hours Food Court,"SH 1, Angamaly, Kerala 683572",Angamaly,9072440990,3.7,3.7,                ? 500 - 1000,Chicken Sandwich,Dbeef Burger,150000,1100,Saturday
Domino's Pizza,"Ground Floor & First Floor, Block-11, Thandapper-18569 Taluka Aluva, Angamaly, Kerala 683572",Angamaly,18002081234,4.1,4.1,                ? 500 - 1000,Chicken Sausage,Pepper Barbecue Chicken Pizza,50000,350,Tuesday
Mint Hill Restaurant,"59WP+2G5, NH 47, near KSRTC, Angamaly, Kerala 683572",Angamaly,9009989908,3.51,3.5,                ? 500 - 1000,Chapathi with Beef Roast,Chicken Biriyani,80000,700,Wednesday
Hotel Athidhi,"Near KSRTC bus stand, Angamaly, 683572",Angamaly,080-67466725,3.02,3,                ? 500 - 1000,Thali Meals(Veg),Veg Noodles,45000,200,Monday
Kerala Kitchen,"Payyapilly Bazar Bldng, Nh 47, Aluva Junction, Aluva, Ernakulam - 683101, Near to Seemas Textiles",Aluva,9995738964,4.03,4,                ? 500 - 1000,Thattu Dosa with Chutney,Parota with beef curry,50000,800,Thursday
Hotel New Aryas ,"XI/220, Pump Juntion, Aluva, Ernakulam - 683101, Railway Station Road",Aluva,          0484 6444116,3.62,3.6,                ? 500 - 1000,Spicy Chicken Fry,Seafood ,50000,1000,Sunday
Diner Palace Restaurant,"Aluva, Metro Piller No, 28, Aluva Flyover, Kerala 683101",Aluva,9633638333,4.81,4.8,                ? 500 - 1000,Chicken Fried Rice,Ziba Special Lime Juice,50000,350,Saturday
Manchatti Restaurant,"Paravoor Rd, near UCC College, Thottakkattukara, Aluva, Kerala 683102",Aluva,9037171031,3.87,3.9,                ? 500 - 1000,Pepper Chicken,Beef Kizhi Porotta,80000,700,Friday
The Grand Hotel ,"4962+8W4, Civil Station Rd, Periyar Nagar, Aluva, Kerala 683101",Aluva,9876540909,4.23,4.2,                ? 500 - 1000,Mutton Biriyani,Beef Fry and Pathiri,45000,200,Saturday
Shenoy's Pure Veg Hotel,"Parat Ln, near Pulinchodu, Kunnathery Thikavu, Aluva, Kerala 683101",Aluva,9846120884,4.2,4.2,                ? 500 - 1000,Shenoys Special Masala Dosa,Paneer Dosa,50000,800,Monday
Al Taza,"Ground floor, Radhani Developers, service road, Pulinchodu Junction, Aluva, Kerala 683101",Aluva,099953 20044,4.43,4.4,                ? 500 - 1000,Whole Meat Chicken Shawarma,Shawarma Burger,50000,1000,Friday
Hotel Zaitoon ,"Periyar Nagar, KII/229(1), Railway Station Rd, Laxmanas Square, Opposite To Railway Station, Railway Station Rd, Laxmanas Square, Opposite To Railway Station, Periyar Nagar, Kochi, Kerala 683101",Aluva,9122134902,2.51,2.5,                ? 500 - 1000,Meals,Chapathi with chicken,100000,10000,Tuesday
Hotel Paradise,"4944+RFP, Railway Station Rd, Near K.S.R.T.C, Periyar Nagar, Kochi, Kerala 683101",Aluva,9747583533,3.59,3.6,                ? 500 - 1000,Masala Dosa,Veg Biriyani,70000,750,Tuesday
Pachamama Artcafe,"498G+6VJ, Thottumugham, Aluva, Kerala 683105",Aluva,9746575765,4.56,4.6,                ? 500 - 1000,Tomato Bruschetta,Egg Sandwich with Brown Bread,90000,800,Saturday
Taj Hotel,"4942+3GH, Alwaye - Ernakulam Rd, Aluva Bazaar, Kunnathery Thikavu, Aluva, Kerala 683101",Aluva,9567054795,3.29,3.3,                ? 500 - 1000,Egg Curry with Idiyappam,,95000,850,Friday
Iftar hotel,"Bank Junction, Karshakashree, Aluva, Kochi, Kerala 683101",Aluva,9633624533,3.8,3.8,                ? 500 - 1000,Beef Roast Porotta,Chicken Kabsa,100000,900,Sunday
Biriyani Hut,"38XX+H23, Kunnathery Thikavu, Aluva, Kerala 683101",Aluva,9000800760,3.43,3.4,                ? 500 - 1000,Chicken Biriyani,Mutton Biriyani,60000,500,Saturday
Soofi Mandi,"Choornikkara, Aluva, Kerala 683501",Aluva,085898 72872,4.32,4.3,                ? 500 - 1000,Al Faham Mandi,Beef Mandi,90000,300,Wednesday
Al Safa Hotel,"49Q3+3CH, SH19, Aluva, Kerala 683102",Aluva,9234567654,3.9,4,                ? 500 - 1000,Kerala Paratha,Puttu Beef Curry,100000,350,Sunday
ALSAJ Restaurant,"495C+HQM, Aluva - Munnar Rd, Thottumugham, Aluva, Kerala 683105",Aluva,088917 13101,3.81,3.8,                ? 500 - 1000,Peri Peri Al Faham,Chatti Choru,800000,10000,Saturday
Sree Saravana bhavan,"Aluva Munnar Road, Perumbavoor, Ernakulam - 683545",Perumbavoor,9947707217,4.04,4,                ? 500 - 1000,Sadhya,Parota with beef curry,50000,350,Saturday
