District Name,Sub District Name,Town Name,Area (sq. km.),Number of Households,Total Population of Town,Railway Station Name,Railway Station Road Distance (in kms),Bus Route Name,Fire Fighting Service (Status A(1)/NA(2)),Electricity-Commercial Connection (Numbers) ,Electricity-Industrial Connection (Numbers),Hospital Allopathic (Numbers),Dispensary/Health Centre (Numbers),Total Health Centres,Govt. Senior Secondary School (Numbers),Private Senior Secondary School (Numbers) ,Total Senior Secondary Schools,Govt. Degree College-Art Only (Numbers),Private Degree College-Art Only (Numbers),Govt. Degree College-Science Only (Numbers),Private Degree College-Science Only (Numbers),Govt. Degree College-Commerce Only (Numbers),Private Degree College-Commerce Only (Numbers),Govt. Degree College-Art and Science Only (Numbers),Private Degree College-Art and Science Only (Numbers),"Govt. Degree College-Art,Science and Commerce (Numbers)","Private Degree College-Art,Science and Commerce (Numbers)",Govt. Degree College-Law (Numbers),Private Degree College-Law (Numbers),Govt.-Medical College (Numbers)),Private-Medical College (Numbers),Govt.-Engineering College (Numbers),Private-Engineering College (Numbers),Govt.-Management Institute (Numbers),Private-Management Institute (Numbers),Govt.-Polytechnic (Numbers),Private-Polytechnic (Numbers),Total Colleges,Govt.-Stadium (Numbers),Private-Stadium (Numbers),Total Stadiums,Govt.-Cinema Theatre (Numbers),Private-Cinema Theatre (Numbers),Total Cinema Theatres,Govt.-Auditorium/Community Hall (Numbers),Private-Auditorium/Community Hall (Numbers),Total Auditoriums
ERNAKULAM,KUNNATHUNAD,Perumbavoor (M),13.61,7103,28110,Aluva,15,Perumbavoor,1,4593,585,1,4,5,3,1,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3,1,0,1,0,5,5,0,10,10
ERNAKULAM,KUNNATHUNAD,Koovappady (CT),17.29,7319,29339,Aluva,15,Koovappady,2,1104,371,0,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1
ERNAKULAM,KUNNATHUNAD,Chelamattom (CT),7.29,4151,16844,Aluva,10,Chelamattom,2,750,350,0,1,1,0,2,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1
ERNAKULAM,KUNNATHUNAD,Marampilly(CT),9.24,5368,23272,Aluva,8,Marampilly,2,1871,804,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,4,0,0,0,0,1,1,1,0,1
ERNAKULAM,KUNNATHUNAD,Vazhakulam (CT),10.58,4377,18358,Aluva,10,Vazhakulam,1,415,20,0,2,2,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
ERNAKULAM,KUNNATHUNAD,Vengola (CT),18.07,7791,32697,Aluva,15,Vengola,2,1104,371,0,2,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,2,3
ERNAKULAM,KUNNATHUNAD,Perumbavoor (CT),6.89,2272,9185,Aluva,16,Perumbavoor,1,5087,543,0,0,0,2,3,5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3,1,0,1,0,5,5,0,8,8
ERNAKULAM,KUNNATHUNAD,Kunnathunad (CT),17.21,5377,22881,Ernakulam,15,Kunnathunad,2,590,130,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,7,1,2,3
ERNAKULAM,KUNNATHUNAD,Puthencruz (CT),28.1,5638,22378,Thrippunithura,12,Puthencruz,2,1200,7037,0,5,5,1,3,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,0,0,3,8,11
ERNAKULAM,ALUVA,Angamaly (M),28.24,8405,33465,Angamaly,0,Angamaly,1,1950,805,1,1,2,1,6,7,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,8,0,0,0,0,1,1,1,8,9
